web-scraper-order,web-scraper-start-url,Nombre,Rating,
1615251165-271,https://www.rappi.com.mx/restaurantes/category/pizza,Piacere Italiano,null,
1615251165-274,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza & More,null,
1615251165-268,https://www.rappi.com.mx/restaurantes/category/pizza,Hamburwings,null,
1615251165-276,https://www.rappi.com.mx/restaurantes/category/pizza,Catering Gourmet a Tu Paladar,null,
1615251165-277,https://www.rappi.com.mx/restaurantes/category/pizza,Mariscos El Naufrago,null,
1615251165-270,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.8,
1615251165-273,https://www.rappi.com.mx/restaurantes/category/pizza,Il Toro Pizza,null,
1615251165-275,https://www.rappi.com.mx/restaurantes/category/pizza,N°2 ArtHouse & CoffeeShop,null,
1615251165-269,https://www.rappi.com.mx/restaurantes/category/pizza,Emporio Pizza,null,
1615251165-267,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza York,null,
1615251165-272,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7,el refugio
